site,label,biome,biome_group,n_obs_total,dfs_total_subset,dfs_tau_active,dfs_tau_slow,dfs_tau_passive,dfs_f_a_to_s,dfs_f_s_to_p,runtime_s
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,4,1.4097777937160347,0.11768754329021716,0.32534033710580523,0.4170326047831175,0.23949641790289425,0.31022089063400066,42.2618502919795
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,8,2.1374416903999336,0.5635319839586536,0.5169111370786832,0.41546240626585185,0.3213568887219184,0.3201792743748263,30.686967541929334
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,8,1.5619930047814492,0.011240186606511278,0.20934601862915878,0.3059926522338865,0.45787061193974127,0.5775435353721515,497.36521379090846
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,15,1.4354984362147192,0.49248464413882825,0.2662477433166718,0.26621794189220443,0.17662067548838753,0.2339274313786273,69.25076212501153
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,7,1.1366157233097958,0.7561969830930704,0.055558453340995496,0.10394988361827481,0.14175943613481692,0.07915096712263803,68.91306625003926
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,3,0.8414928364938976,0.16792743872336538,0.1237731594481964,0.18735552850321738,0.20643290991902674,0.15600379990009172,36.21728570794221
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,4,1.1670991769684131,0.053766983788276164,0.2951466671760703,0.3555465799907779,0.21393020707842117,0.24870873893486756,45.322862374945544
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,8,1.7485211291822127,0.3109518783600915,0.4002045243193714,0.4282143813207828,0.3160871862744816,0.29306315890748535,89.1571920409333
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal wet forest/fire chronosequence,boreal,6,1.3093568660935857,0.11913158297474628,0.26685954049967736,0.2972441499497301,0.38745643602954005,0.23866515663989193,50.816812000004575
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal forest,boreal,5,0.7488227204884907,0.24191460669789522,0.05355218002647456,0.134971742273865,0.20922580488268455,0.10915838660757135,66.53092620894313
EML,Eight Mile Lake (US-EML),tundra/permafrost,arctic_permafrost,27,2.410591298515003,0.3669220137540245,0.40636821285039354,0.5753624733259252,0.5755555273295604,0.4863830712550994,63.040476292022504
FLONA,Santarém FLONA (BR-Sa3),tropical moist forest,tropical,5,1.62430875206045,0.3147959112668508,0.15741243414358042,0.4773401874206413,0.35081114505968947,0.3239490741696879,56.85473895794712
HI_Andisol,HI Andisol (FluxCom fallback),tropical volcanic Andisol forest,tropical,8,1.800481290172351,0.40596508498761197,0.3679137745696496,0.4221444917319761,0.31484933002425436,0.2896086088588592,88.1303865830414
Harvard Forest,Harvard Forest (US-Ha1),temperate deciduous forest,temperate_forest,52,1.523809506048553,0.8821980558708368,0.05532863388273068,0.12536206470124625,0.3696384091048162,0.09128234248892303,82.54735029104631
Howland Forest,Howland Forest (US-Ho1),temperate coniferous forest,temperate_forest,43,3.6411501516776728,0.9857793610444797,0.5221790147737995,0.5955569708240569,0.9110800463082005,0.6265547587271363,159.8603836670518
Luquillo_Experimental_Forest,Luquillo Experimental Forest (FluxCom fallback),tropical wet montane forest,tropical,6,1.883721890765184,0.3989632139682,0.44232600742397693,0.4240018341184166,0.31970402868864983,0.2987268065659405,78.1705685419729
MI-Coarse UMBS,UMBS (US-UMB),temperate mixed forest,temperate_forest,8,1.9365191264144583,0.5086348659361385,0.4564997342006345,0.36493521188820377,0.31538524810051183,0.2910640662889696,33.45498866692651
MO Ozark BREA,Missouri Ozark (US-MOz),temperate deciduous forest,temperate_forest,11,2.326627710245292,0.6940708471528917,0.5004213285144248,0.41798759718790557,0.3985063459272247,0.3156415914628452,51.75011754105799
NH Bartlett Forest,Bartlett Forest (US-Bar),temperate mixed forest,temperate_forest,22,2.068140394929828,0.5526408082341964,0.4740943450358834,0.4088370536147786,0.3326227262853649,0.2999454617596049,54.20601516705938
Nahuelbuta,Nahuelbuta (FluxCom fallback),temperate montane forest,temperate_forest,3,1.3869090348111013,0.07887384848461498,0.35888447159560855,0.41651870072165287,0.20989997592697057,0.32273203808225426,39.01105962495785
Santa Gracia,Santa Gracia (FluxCom fallback),semi-arid mediterranean shrubland,grassland_mediterranean,3,1.4176260204635176,0.085197612772351,0.36314222977871413,0.4247153472956675,0.21731471062649432,0.3272561199902906,29.55450375005603
Solling,Solling/Reinshof (DE-Rns),temperate forest,temperate_forest,5,1.42057198613878,0.4859887504480442,0.07017140552235966,0.2881462586890428,0.3516184828254641,0.22464708865386948,88.7925534589449
Willow Creek,Willow Creek (FluxCom fallback),cool temperate forest,temperate_forest,3,1.3546319150827455,0.09337444178805124,0.33009671722432843,0.39369019836990216,0.21966623427181442,0.3178043234286493,37.71680062508676
ZF2,Manaus ZF2 (BR-Ma2),tropical moist forest,tropical,3,1.2312582277726885,0.15825904084151224,0.24213378940773073,0.324445712017856,0.23992667787508187,0.2664930076305077,57.42445687495638
