site,label,biome,biome_group,family,n_obs_family,param,shapley_dfs
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,C_stocks,1,f_a_to_s,0.2187044158373907
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,C_stocks,1,f_s_to_p,0.10117974599787946
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,C_stocks,1,tau_active,0.030034800306552034
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,C_stocks,1,tau_passive,0.1360187843791582
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,C_stocks,1,tau_slow,0.0999595640270191
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,ER_annual,1,f_a_to_s,0.0005812066695128516
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,ER_annual,1,f_s_to_p,3.212727229656123e-05
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,ER_annual,1,tau_active,0.008068194603291608
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,ER_annual,1,tau_passive,4.2700052525365054e-05
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,ER_annual,1,tau_slow,0.00015205492121930043
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,bulk_14C,2,f_a_to_s,0.02021079539599071
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,bulk_14C,2,f_s_to_p,0.20900901736382474
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,bulk_14C,2,tau_active,0.07958454838037349
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,bulk_14C,2,tau_passive,0.2809711203514342
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,bulk_14C,2,tau_slow,0.2252287181575669
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_12C,0,f_a_to_s,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_12C,0,f_s_to_p,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_12C,0,tau_active,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_12C,0,tau_passive,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_12C,0,tau_slow,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_14C,0,f_a_to_s,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_14C,0,f_s_to_p,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_14C,0,tau_active,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_14C,0,tau_passive,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,fraction_14C,0,tau_slow,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,resp_14C,0,f_a_to_s,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,resp_14C,0,f_s_to_p,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,resp_14C,0,tau_active,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,resp_14C,0,tau_passive,0.0
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,resp_14C,0,tau_slow,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,C_stocks,1,f_a_to_s,0.12017138595768168
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,C_stocks,1,f_s_to_p,0.06100753127577214
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,C_stocks,1,tau_active,0.09626825941754721
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,C_stocks,1,tau_passive,0.07916300540115782
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,C_stocks,1,tau_slow,0.033090075792982176
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,ER_annual,1,f_a_to_s,2.911922737285072e-05
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,ER_annual,1,f_s_to_p,1.395653388111036e-06
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,ER_annual,1,tau_active,0.0001820683087775244
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,ER_annual,1,tau_passive,1.7886798104414841e-06
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,ER_annual,1,tau_slow,2.6894736396045634e-06
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,bulk_14C,0,f_a_to_s,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,bulk_14C,0,f_s_to_p,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,bulk_14C,0,tau_active,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,bulk_14C,0,tau_passive,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,bulk_14C,0,tau_slow,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_12C,3,f_a_to_s,0.20115637497560135
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_12C,3,f_s_to_p,0.2591703452467173
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_12C,3,tau_active,0.46708149318987824
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_12C,3,tau_passive,0.33629760932567687
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_12C,3,tau_slow,0.48381835486040314
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_14C,3,f_a_to_s,8.561263560383952e-09
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_14C,3,f_s_to_p,2.198947746555595e-09
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_14C,3,tau_active,1.630424505306832e-07
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_14C,3,tau_passive,2.859206288781888e-09
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,fraction_14C,3,tau_slow,1.6951658434660362e-08
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,resp_14C,0,f_a_to_s,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,resp_14C,0,f_s_to_p,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,resp_14C,0,tau_active,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,resp_14C,0,tau_passive,0.0
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,resp_14C,0,tau_slow,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,C_stocks,1,f_a_to_s,0.002192260707185929
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,C_stocks,1,f_s_to_p,0.0018930217044621903
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,C_stocks,1,tau_active,0.00012145287654936066
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,C_stocks,1,tau_passive,0.006468345375645071
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,C_stocks,1,tau_slow,0.001581437574607058
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,ER_annual,2,f_a_to_s,6.350132617709953e-05
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,ER_annual,2,f_s_to_p,5.062841387005731e-06
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,ER_annual,2,tau_active,0.000625512033583034
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,ER_annual,2,tau_passive,1.2877922318134196e-06
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,ER_annual,2,tau_slow,1.391719224663011e-06
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,bulk_14C,1,f_a_to_s,0.016307739019476193
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,bulk_14C,1,f_s_to_p,0.086779765675273
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,bulk_14C,1,tau_active,0.007220799274032177
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,bulk_14C,1,tau_passive,0.2829298004908611
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,bulk_14C,1,tau_slow,0.19695039988337557
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_12C,0,f_a_to_s,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_12C,0,f_s_to_p,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_12C,0,tau_active,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_12C,0,tau_passive,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_12C,0,tau_slow,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_14C,0,f_a_to_s,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_14C,0,f_s_to_p,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_14C,0,tau_active,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_14C,0,tau_passive,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,fraction_14C,0,tau_slow,0.0
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,resp_14C,4,f_a_to_s,0.4393071108869046
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,resp_14C,4,f_s_to_p,0.48886568515103274
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,resp_14C,4,tau_active,0.003272422422341618
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,resp_14C,4,tau_passive,0.016593218575148574
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,resp_14C,4,tau_slow,0.010812789451951448
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,C_stocks,1,f_a_to_s,0.15713520745022547
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,C_stocks,1,f_s_to_p,0.021474310610735535
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,C_stocks,1,tau_active,0.007679059254377778
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,C_stocks,1,tau_passive,0.027118033396930637
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,C_stocks,1,tau_slow,0.11915563153896659
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,ER_annual,3,f_a_to_s,0.00489576483489534
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,ER_annual,3,f_s_to_p,0.0011993687129255497
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,ER_annual,3,tau_active,0.08003196189047225
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,ER_annual,3,tau_passive,7.646633615768941e-05
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,ER_annual,3,tau_slow,0.0002301371891751283
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,bulk_14C,1,f_a_to_s,0.003084717101747459
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,bulk_14C,1,f_s_to_p,0.17161123959257701
